DOI,Title,Matched Columns,Matched keywards
10.1109/AICAS48895.2020.9073976,Improving the Robustness of Threshold-Based Single Hidden Layer Neural Networks via Regularization,Abstract,resource-constrained
10.1109/AICAS48895.2020.9073978,Accelerating Deep Neural Networks with Analog Memory Devices,Abstract,low-power 
10.1109/AICAS48895.2020.9073848,XNORAM: An Efficient Computing-in-Memory Architecture for Binary Convolutional Neural Networks with Flexible Dataflow Mapping,Abstract,energy-efficient
10.1109/AICAS48895.2020.9073888,Temporal Variability Analysis in sEMG Hand Grasp Recognition using Temporal Convolutional Networks,"Abstract, Abstract, Abstract","resource-constrained, quantization, pruning"
10.1109/AICAS48895.2020.9073989,Memory Efficient Training using Lookup-Table-based Quantization for Neural Network,"Document Title, Abstract, Abstract, IEEE Terms","quantization, quantization, memory usage, quantization"
10.1109/AICAS48895.2020.9073950,Convolutional-Recurrent Neural Networks on Low-Power Wearable Platforms for Cardiac Arrhythmia Detection,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","low-power , low-power , microcontrollers , cmsis-nn, quantization"
10.1109/AICAS48895.2020.9073832,Exploiting Variable Precision Computation Array for Scalable Neural Network Accelerators,"Author Keywords, IEEE Terms","quantization, quantization"
10.1109/AICAS48895.2020.9073945,Low-power ECG acquisition by Compressed Sensing with Deep Neural Oracles,Document Title,low-power 
10.1109/AICAS48895.2020.9074004,Zero Block Caching for CNN Applications Running on a Vision DSP,"Abstract, IEEE Terms","quantization, quantization"
10.1109/AICAS48895.2020.9073856,An error-propagation spiking neural network compatible with neuromorphic processors,Abstract,low-power 
10.1109/AICAS48895.2020.9073913,Low-Power HWAccelerator for AI Edge-Computing in Human Activity Recognition Systems,"Document Title, Author Affiliations","low-power , microcontrollers "
10.1109/AICAS48895.2020.9073810,Neuromorphic Implementation of a Recurrent Neural Network for EMG Classification,Abstract,low-power 
10.1109/AICAS48895.2020.9073827,SpArNet: Sparse Asynchronous Neural Network execution for energy efficient inference,"Abstract, Abstract, IEEE Terms","quantization, energy consumption, quantization"
10.1109/AICAS48895.2020.9073942,Deep Neural Network Mapping and Performance Analysis on Tiled RRAM Architecture,IEEE Terms,quantization
10.1109/AICAS48895.2020.9073979,EAST: Encoding-Aware Sparse Training for Deep Memory Compression of ConvNets,"Abstract, Abstract, Abstract, IEEE Terms","low-power , quantization, pruning, quantization"
10.1109/AICAS48895.2020.9073885,Efficient Embedded Deep Neural-Network-based Object Detection Via Joint Quantization and Tiling,"Document Title, Abstract, Abstract, IEEE Terms","quantization, resource-constrained, quantization, quantization"
10.1109/AICAS48895.2020.9073944,Energy-Efficient Accelerator Design with 3D-SRAM and Hierarchical Interconnection Architecture for Compact Sparse CNNs,"Document Title, Abstract, Abstract","energy-efficient, energy-efficient, energy consumption"
10.1109/AICAS48895.2020.9073992,An Architectural Study for Inference Coprocessor Core at the Edge in IoT Sensing,Abstract,low-power 
10.1109/AICAS48895.2020.9073963,A Real-Time Retinomorphic Simulator Using a Conductance-Based Discrete Neuronal Network,Abstract,real-time performance
10.1109/AICAS48895.2020.9073920,Neuro-PULP: A Paradigm Shift Towards Fully Programmable Platforms for Neural Interfaces,"Abstract, Abstract","low-power , mcu"
10.1109/AICAS48895.2020.9073877,Low Power In-Memory Implementation of Ternary Neural Networks with Resistive RAM-Based Synapse,Abstract,energy consumption
10.1109/AICAS48895.2020.9073870,Smart Logic-in-Memory Architecture For Ultra-Low Power Large Fan-In Operations,"Abstract, Abstract","low-power , energy-efficient"
10.1109/AICAS48895.2020.9073914,A SiPM-Based Directional Gamma-Ray Spectrometer With Embedded Machine Learning,Document Title,embedded machine learning
10.1109/AICAS48895.2020.9073972,Real-time Super Resolution CNN Accelerator with Constant Kernel Size Winograd Convolution,IEEE Terms,quantization
10.1109/AICAS48895.2020.9073840,Fully-Integrated Spiking Neural Network Using SiOx-Based RRAM as Synaptic Device,Abstract,quantization
10.1109/AICAS48895.2020.9073854,Layerwise Noise Maximisation to Train Low-Energy Deep Neural Networks,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS48895.2020.9073903,Complex Neuron Dynamics on the IBM TrueNorth Neurosynaptic System,Abstract,energy-efficient
10.1109/AICAS48895.2020.9073987,Learning to Walk: Spike Based Reinforcement Learning for Hexapod Robot Central Pattern Generation,Abstract,raspberry pi
10.1109/AICAS51828.2021.9458501,NeuroSim Validation with 40nm RRAM Compute-in-Memory Macro,Abstract,energy consumption
10.1109/AICAS51828.2021.9458438,MLFlash-CIM: Embedded Multi-Level NOR-Flash Cell based Computing in Memory Architecture for Edge AI Devices,"Document Title, Abstract, IEEE Terms","edge ai, quantization, quantization"
10.1109/AICAS51828.2021.9458469,Energy-Efficient Intelligent EPTS Device using Novel DCNN-Based Dynamic Sensor Activation,Document Title,energy-efficient
10.1109/AICAS51828.2021.9458436,An Ultra-Low-power Real-Time Hand-Gesture Recognition System for Edge Applications,"Document Title, Abstract","low-power , low-power "
10.1109/AICAS51828.2021.9458569,Design optimization for ADMM-Based SVM Training Processor for Edge Computing,"Abstract, Abstract","low-power , memory usage"
10.1109/AICAS51828.2021.9458452,Quantization Strategy for Pareto-optimally Low-cost and Accurate CNN,"Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, quantization, quantization, pruning, quantization"
10.1109/AICAS51828.2021.9458472,A Quality-Oriented Reconfigurable Convolution Engine Using Cross-Shaped Sparse Kernels for Highly-Parallel CNN Acceleration,Abstract,pruning
10.1109/AICAS51828.2021.9458444,Single RRAM Cell-based In-Memory Accelerator Architecture for Binary Neural Networks,"Document Title, Abstract, Abstract, Author Keywords","binary neural networks, binary neural networks, bnn, bnn"
10.1109/AICAS51828.2021.9458560,Hardware Approximation of Exponential Decay for Spiking Neural Networks,"Abstract, Abstract","low-power , energy consumption"
10.1109/AICAS51828.2021.9458563,"iAMEC, an Intelligent Autonomous Mover for Navigation in Indoor People Rich Environments",Abstract,edge ai
10.1109/AICAS51828.2021.9458528,MRAM-based BER resilient Quantized edge-AI Networks for Harsh Industrial Conditions,"Author Keywords, Author Keywords","edge ai, bnn"
10.1109/AICAS51828.2021.9458492,An 176.3 GOPs Object Detection CNN Accelerator Emulated in a 28nm CMOS Technology,Abstract,real-time performance
10.1109/AICAS51828.2021.9458522,The 2020 Low-Power Computer Vision Challenge,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords","low-power , low-power , energy-efficient, model compression, nas"
10.1109/AICAS51828.2021.9458511,"An Efficient and Low-Power MLP Accelerator Architecture Supporting Structured Pruning, Sparse Activations and Asymmetric Quantization for Edge Computing","Document Title, Document Title, Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","low-power , quantization, pruning, low-power , quantization, pruning, model compression, quantization"
10.1109/AICAS51828.2021.9458497,Hardware-Algorithm Co-Design Enabling Efficient Event-based Object Detection,Abstract,resource-constrained
10.1109/AICAS51828.2021.9458425,Event-Driven Continuous-Time Feature Extraction for Ultra Low-Power Audio Keyword Spotting,"Document Title, Document Title, Abstract","low-power , keyword spotting, keyword spotting"
10.1109/AICAS51828.2021.9458403,Online Detection of Vibration Anomalies Using Balanced Spiking Neural Networks,"Abstract, Author Keywords","predictive maintenance, predictive maintenance"
10.1109/AICAS51828.2021.9458555,Self-Aware Anomaly-Detection for Epilepsy Monitoring on Low-Power Wearable Electrocardiographic Devices,"Document Title, Abstract, Abstract","low-power , low-power , energy-efficient"
10.1109/AICAS51828.2021.9458542,Exploiting Memristors for Neuromorphic Reinforcement Learning,Abstract,energy-efficient
10.1109/AICAS51828.2021.9458468,Contention-aware Adaptive Model Selection for Machine Vision in Embedded Systems,Abstract,resource-constrained
10.1109/AICAS51828.2021.9458539,A Two-Layer LSTM Deep Learning Model for Epileptic Seizure Prediction,Abstract,resource-constrained
10.1109/AICAS51828.2021.9458545,Ensemble of Pruned Networks for Reliable Classifiers,"Abstract, Author Keywords","pruning, pruning"
10.1109/AICAS51828.2021.9458508,Dynamically-biased Fixed-point LSTM for Time Series Processing in AIoT Edge Device,"Document Title, Abstract","aiot , quantization"
10.1109/AICAS51828.2021.9458487,Quantized Fully Convolution Neural Network for HW Implementation of Human Posture Recognition,"Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, low-power , quantization, quantization"
10.1109/AICAS51828.2021.9458581,Exploiting Weight Statistics for Compressed Neural Network Implementation on Hardware,"Abstract, Abstract, IEEE Terms","quantization, microcontrollers , quantization"
10.1109/AICAS51828.2021.9458463,TempDiff: Temporal Difference-Based Feature Map-Level Sparsity Induction in CNNs with <4% Memory Overhead,Abstract,inference time
10.1109/AICAS51828.2021.9458459,TCBNN: Error-Correctable Ternary-Coded Binarized Neural Network,Abstract,bnn
10.1109/AICAS51828.2021.9458520,ECG-TCN: Wearable Cardiac Arrhythmia Detection with a Temporal Convolutional Network,"Abstract, IEEE Terms","energy-efficient, quantization"
10.1109/AICAS51828.2021.9458401,iELAS: An ELAS-Based Energy-Efficient Accelerator for Real-Time Stereo Matching on FPGA Platform,"Document Title, Abstract, Abstract, Abstract","energy-efficient, low-power , energy-efficient, real-time performance"
10.1109/AICAS51828.2021.9458461,Graph-Based Spatio-Temporal Backpropagation for Training Spiking Neural Networks,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS51828.2021.9458573,Efficient FPGA Implementation of a Convolutional Neural Network for Radar Signal Processing,"Abstract, Author Keywords","energy consumption, energy consumption"
10.1109/AICAS51828.2021.9458476,Neural Network Acceleration and Voice Recognition with a Flash-based In-Memory Computing SoC,"Abstract, Abstract","resource-constrained, keyword spotting"
10.1109/AICAS51828.2021.9458549,Memory Efficient Invertible Neural Networks for Class-Incremental Learning,IEEE Terms,quantization
10.1109/AICAS51828.2021.9458486,An Energy-Efficient Quad-Camera Visual System for Autonomous Machines on FPGA Platform,"Document Title, Abstract, Abstract","energy-efficient, energy-efficient, energy consumption"
10.1109/AICAS51828.2021.9458550,Automated Tuning of End-to-end Neural Flight Controllers for Autonomous Nano-drones,"Abstract, Abstract","low-power , inference time"
10.1109/AICAS51828.2021.9458421,LPE: Logarithm Posit Processing Element for Energy-Efficient Edge-Device Training,Document Title,energy-efficient
10.1109/AICAS51828.2021.9458410,HPPU: An Energy-Efficient Sparse DNN Training Processor with Hybrid Weight Pruning,"Document Title, Document Title, Abstract, Author Keywords","pruning, energy-efficient, pruning, pruning"
10.1109/AICAS51828.2021.9458491,Integer-Only Approximated MFCC for Ultra-Low Power Audio NN Processing on Multi-Core MCUs,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","quantization, keyword spotting, mcu, tinyml, keyword spotting, low-power , quantization"
10.1109/AICAS51828.2021.9458575,uPIM: Performance-aware Online Learning Capable Processing-in-Memory,Abstract,quantization
10.1109/AICAS51828.2021.9458509,CoughNet: A Flexible Low Power CNN-LSTM Processor for Cough Sound Detection,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS51828.2021.9458435,Energy-Efficient Deep Reinforcement Learning Accelerator Designs for Mobile Autonomous Systems,"Document Title, Author Keywords","energy-efficient, energy-efficient"
10.1109/AICAS51828.2021.9458548,An Energy-Efficient Hardware Accelerator for Hierarchical Deep Reinforcement Learning,"Document Title, Abstract, Abstract, Abstract, IEEE Terms","energy-efficient, resource-constrained, energy-efficient, energy consumption, energy consumption"
10.1109/AICAS54282.2022.9870009,Energy-Efficient High-Accuracy Spiking Neural Network Inference Using Time-Domain Neurons,"Document Title, Abstract","energy-efficient, low-power "
10.1109/AICAS54282.2022.9869914,Analog-Domain Time-Series Moment Extraction for Low Power Predictive Maintenance Analytics,"Document Title, Abstract","predictive maintenance, low-power "
10.1109/AICAS54282.2022.9869901,Class Attention Transfer for Semantic Segmentation,Author Keywords,knowledge distillation
10.1109/AICAS54282.2022.9869968,Lightweight and Efficient Neural Network Using Progressively Greedy Search,"Abstract, Author Keywords","pruning, neural architecture search"
10.1109/AICAS54282.2022.9869990,Towards On-device Domain Adaptation for Noise-Robust Keyword Spotting,"Document Title, Abstract","keyword spotting, keyword spotting"
10.1109/AICAS54282.2022.9870017,Survey and Comparison of Milliwatts Micro controllers for Tiny Machine Learning at the Edge,"Abstract, Abstract, Abstract, Abstract, Author Keywords","tinyml, resource-constrained, microcontrollers , inference time, tinyml"
10.1109/AICAS54282.2022.9869965,Optimizing Exponent Bias for Sub-8bit Floating-Point Inference of Fine-tuned Transformers,"Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869907,AutoDeepHLS: Deep Neural Network High-level Synthesis using fixed-point precision,Author Keywords,quantization
10.1109/AICAS54282.2022.9869988,Intrinsic Sparse LSTM using Structured Targeted Dropout for Efficient Hardware Inference,"Abstract, Abstract, Author Keywords, Author Keywords","resource-constrained, pruning, model compression, pruning"
10.1109/AICAS54282.2022.9869959,DC-MPQ: Distributional Clipping-based Mixed-Precision Quantization for Convolutional Neural Networks,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869846,An Energy-Efficient Spiking Neural Network for Finger Velocity Decoding for Implantable Brain-Machine Interface,"Document Title, Abstract","energy-efficient, low-power "
10.1109/AICAS54282.2022.9869924,Enabling Energy-Efficient Inference for Self-Attention Mechanisms in Neural Networks,"Document Title, Abstract","energy-efficient, energy-efficient"
10.1109/AICAS54282.2022.9869992,A General-Purpose and Configurable Planar Data Processor for Energy-Efficient Pooling Computation,"Document Title, Abstract, Author Keywords","energy-efficient, energy-efficient, energy-efficient"
10.1109/AICAS54282.2022.9869960,A 0.95 mJ/frame DNN Training Processor for Robust Object Detection with Real-World Environmental Adaptation,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms, IEEE Terms","quantization, pruning, energy consumption, quantization, pruning, quantization, energy consumption"
10.1109/AICAS54282.2022.9869909,Quantized ID-CNN for a Low-power PDM-to-PCM Conversion in TinyML KWS Applications,"Document Title, Document Title, Abstract, Abstract","tinyml, low-power , low-power , keyword spotting"
10.1109/AICAS54282.2022.9869913,AIWareK: Compiling PyTorch Model for AI Processor Using MLIR Framework,"Document Title, Abstract","mlir , mlir "
10.1109/AICAS54282.2022.9869997,Implementing Binarized Neural Network Processor on FPGA-Based Platform,Abstract,bnn
10.1109/AICAS54282.2022.9869947,A low power neural network training processor with 8-bit floating point with a shared exponent bias and fused multiply add trees,Abstract,low-power 
10.1109/AICAS54282.2022.9869943,Spiking Neural Network based Real-time Radar Gesture Recognition Live Demonstration,Abstract,memory usage
10.1109/AICAS54282.2022.9869954,A DNN Training Processor for Robust Object Detection with Real-World Environmental Adaptation,"Abstract, Abstract, IEEE Terms","energy-efficient, energy consumption, energy consumption"
10.1109/AICAS54282.2022.9869899,A 181µW Real-Time 3-D Hand-Gesture Recognition System for Edge Applications,Abstract,low-power 
10.1109/AICAS54282.2022.9869967,Deep Learning-based Real-time Segmentation for Edge Computing Devices,Abstract,knowledge distillation
10.1109/AICAS54282.2022.9870020,Live Demo: Memory-Efficient Hardware Design for a Real-Time Convolutional Encoder-Decoder Network,Document Title,memory-efficient
10.1109/AICAS54282.2022.9869978,MemSE: Fast MSE Prediction for Noisy Memristor-Based DNN Accelerators,"Abstract, IEEE Terms","quantization, quantization"
10.1109/AICAS54282.2022.9869970,TAC-RAM: A 65nm 4Kb SRAM Computing-in-Memory Design with 57.55 TOPS/W supporting Multibit Matrix-Vector Multiplication for Binarized Neural Network,"Abstract, Author Keywords","energy-efficient, energy-efficient"
10.1109/AICAS54282.2022.9869905,DualPIM: A Dual-Precision and Low-Power CNN Inference Engine Using SRAM- and eDRAM-based Processing-in-Memory Arrays,"Document Title, Abstract, Abstract, IEEE Terms, IEEE Terms","low-power , quantization, energy consumption, quantization, energy consumption"
10.1109/AICAS54282.2022.9869849,T-EAP: Trainable Energy-Aware Pruning for NVM-based Computing-in-Memory Architecture,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","pruning, pruning, energy consumption, pruning, energy consumption, energy consumption"
10.1109/AICAS54282.2022.9869950,A Hybrid Spiking Recurrent Neural Network on Hardware for Efficient Emotion Recognition,Abstract,low-power 
10.1109/AICAS54282.2022.9870025,SENeCA: Scalable Energy-efficient Neuromorphic Computer Architecture,Document Title,energy-efficient
10.1109/AICAS54282.2022.9869922,Analog LSTM for Keyword Spotting,"Document Title, Abstract","keyword spotting, keyword spotting"
10.1109/AICAS54282.2022.9870005,MARSv2: Multicore and Programmable Reconstruction Architecture SRAM CIM-Based Accelerator with Lightweight Network,Abstract,low-power 
10.1109/AICAS54282.2022.9869908,FPGA Accelerator for Radar-Based Human Activity Recognition,IEEE Terms,quantization
10.1109/AICAS54282.2022.9869911,A Winograd-Based Highly-Parallel Convolution Engine for 8-bit CNN Acceleration,"Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869929,A Real-Time Sparsity-Aware 3D-CNN Processor for Mobile Hand Gesture Recognition,Abstract,resource-constrained
10.1109/AICAS54282.2022.9869850,An Adaptive High-Performance Quantization Approach for Resource-Constrained CNN Inference,"Document Title, Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","resource-constrained, quantization, resource-constrained, quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869971,Bin-Specific Quantization in Spectral-Domain Convolutional Neural Network Accelerators,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869935,Efficient Nonlinear Autoregressive Neural Network Architecture for Real-Time Biomedical Applications,Abstract,energy-efficient
10.1109/AICAS54282.2022.9870024,Real-Time Low Power Audio Distortion Circuit Modeling: a TinyML Deep Learning Approach,"Document Title, Abstract, Author Keywords","tinyml, resource-constrained, low-power "
10.1109/AICAS54282.2022.9870013,Hand Gesture Recognition Using IR-UWB Radar with Spiking Neural Networks,Abstract,low-power 
10.1109/AICAS54282.2022.9869982,Real-time Biosignal Recording and Machine-Learning Analysis System,"Abstract, Abstract","bnn, real-time performance"
10.1109/AICAS54282.2022.9870007,An Attention-based Neural Network on Multiple Speaker Diarization,Abstract,inference time
10.1109/AICAS54282.2022.9870012,Irrelevant Pixels are Everywhere: Find and Exclude Them for More Efficient Computer Vision,"Abstract, Author Keywords, IEEE Terms","energy consumption, low-power , energy consumption"
10.1109/AICAS54282.2022.9869993,CIM-based Robust Logic Accelerator using 28 nm STT-MRAM Characterization Chip Tape-out,"Abstract, Abstract, Abstract, Author Keywords","energy-efficient, binary neural networks, bnn, binary neural networks"
10.1109/AICAS54282.2022.9869948,Power-Efficient Double-Cyclic Low-Precision Training for Convolutional Neural Networks,Author Keywords,quantization
10.1109/AICAS54282.2022.9869994,Hardware-Friendly Logarithmic Quantization with Mixed-Precision for MobileNetV2,"Document Title, Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization, quantization"
10.1109/AICAS54282.2022.9869966,Navigating Local Minima in Quantized Spiking Neural Networks,Author Keywords,quantization
10.1109/AICAS54282.2022.9869848,Tiny TCN model for Gesture Recognition With Multi-point Low power ToF-Sensors,Author Keywords,tinyml
10.1109/AICAS54282.2022.9869987,Real-time Radar Gesture Classification with Spiking Neural Network on SpiNNaker 2 Prototype,"Abstract, IEEE Terms","memory usage, quantization"
10.1109/AICAS54282.2022.9869897,X-Fault: Impact of Faults on Binary Neural Networks in Memristor-Crossbar Arrays with Logic-in-Memory Computation,"Document Title, Abstract, Abstract","binary neural networks, binary neural networks, bnn"
10.1109/AICAS54282.2022.9870018,A 62.45 TOPS/W Spike-Based Convolution Neural Network Accelerator with Spatiotemporal Parallel Data Flow and Sparsity Mechanism,"Abstract, Abstract, IEEE Terms","inference time, energy consumption, energy consumption"
10.1109/AICAS54282.2022.9870001,A Closed-Loop Brain-Machine Interface with One-Shot Learning and Online Tuning for Patient-Specific Neurological Disorder Treatment,"Abstract, Abstract","low-power , energy-efficient"
10.1109/AICAS54282.2022.9870008,Challenges and Opportunities of Edge AI for Next-Generation Implantable BMIs,Document Title,edge ai
10.1109/AICAS54282.2022.9869998,A Mapping Model of SNNs to Neuromorphic Hardware,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS54282.2022.9869958,ZEN: A flexible energy-efficient hardware classifier exploiting temporal sparsity in ECG data,"Document Title, Abstract, Author Keywords","energy-efficient, low-power , low-power "
10.1109/AICAS54282.2022.9869938,An Efficient CNN Training Accelerator Leveraging Transposable Block Sparsity,"Abstract, Author Keywords","pruning, pruning"
10.1109/AICAS54282.2022.9869955,Design Exploration of An Energy-Efficient Acceleration System for CNNs on Low-Cost Resource-Constraint SoC-FPGAs,"Document Title, Abstract","energy-efficient, energy-efficient"
10.1109/AICAS54282.2022.9869919,A Novel DNN Accelerator for Light-weight Neural Networks: Concept and Design,"Abstract, Author Keywords","edge ai, edge ai"
10.1109/AICAS54282.2022.9869974,Lightweight End-to-End Stress Recognition using Binarized CNN-LSTM Models,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS54282.2022.9869931,Tiny-PULP-Dronets: Squeezing Neural Networks for Faster and Lighter Inference on Multi-Tasking Autonomous Nano-Drones,Abstract,mcu
10.1109/AICAS54282.2022.9870000,Tiny Robot Learning: Challenges and Directions for Machine Learning in Resource-Constrained Robots,"Document Title, Abstract","resource-constrained, resource-constrained"
10.1109/AICAS54282.2022.9870002,Low-power Autonomous Adaptation System with Deep Reinforcement Learning,"Document Title, Abstract, Abstract","low-power , low-power , energy-efficient"
10.1109/AICAS54282.2022.9869910,Hardening DNNs against Transfer Attacks during Network Compression using Greedy Adversarial Pruning,"Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","pruning, quantization, pruning, pruning, quantization"
10.1109/AICAS57966.2023.10168647,"A 115.1 TOPS/W, 12.1 TOPS/mm2 Computation-in-Memory using Ring-Oscillator based ADC for Edge AI","Document Title, Abstract, Abstract","edge ai, low-power , energy-efficient"
10.1109/AICAS57966.2023.10168557,FEEP: Functional ECO Synthesis with Efficient Patch Minimization,Abstract,pruning
10.1109/AICAS57966.2023.10168594,Reducing Overhead of Feature Importance Visualization via Static GradCAM Computation,Abstract,tinyml
10.1109/AICAS57966.2023.10168576,Binary is All You Need: Ultra-Efficient Arrhythmia Detection with a Binary-Only Compressive System,"Abstract, Abstract, IEEE Terms","bnn, energy consumption, energy consumption"
10.1109/AICAS57966.2023.10168560,EpilepsyNet: Interpretable Self-Supervised Seizure Detection for Low-Power Wearable Systems,"Document Title, Abstract","low-power , resource-constrained"
10.1109/AICAS57966.2023.10168604,A Column-Parallel Time-Interleaved SAR/SS ADC for Computing in Memory with 2-8bit Reconfigurable Resolution,"Abstract, Abstract, IEEE Terms, IEEE Terms","quantization, energy consumption, quantization, energy consumption"
10.1109/AICAS57966.2023.10168585,RRAM-Based Precision-Scaleable Computing-In-Memory Scheme and Its Error Correction Approach,Author Keywords,energy-efficient
10.1109/AICAS57966.2023.10168660,FrameFire: Enabling Efficient Spiking Neural Network Inference for Video Segmentation,Abstract,energy-efficient
10.1109/AICAS57966.2023.10168658,In-memory Activation Compression for GPT Training,Abstract,memory usage
10.1109/AICAS57966.2023.10168659,Architecture-Aware Optimization of Layer Fusion for Latency-Optimal CNN Inference,Abstract,resource-constrained
10.1109/AICAS57966.2023.10168590,PN-TMS: Pruned Node-fusion Tree-based Multicast Scheme for Efficient Neuromorphic Systems,"Abstract, Abstract","low-power , energy consumption"
10.1109/AICAS57966.2023.10168603,Embedded neuromorphic attention model leveraging a novel low-power heterogeneous platform,"Document Title, Abstract","low-power , low-power "
10.1109/AICAS57966.2023.10168598,KP2Dtiny: Quantized Neural Keypoint Detection and Description on the Edge,"Abstract, Abstract, Abstract","low-power , quantization, mcu"
10.1109/AICAS57966.2023.10168606,F-CNN: Faster CNN Exploiting Data Re-Use with Statistical Analysis,"Abstract, Abstract","resource-constrained, raspberry pi"
10.1109/AICAS57966.2023.10168570,Online low-power large-scale real-time decision-making all at once,Document Title,low-power 
10.1109/AICAS57966.2023.10168619,NeuroBMI: A New Neuromorphic Implantable Wireless Brain Machine Interface with A 0.48 µW Event-Driven Noise-Tolerant Spike Detector,Abstract,energy consumption
10.1109/AICAS57966.2023.10168577,Free Bits: Latency Optimization of Mixed-Precision Quantized Neural Networks on the Edge,"Document Title, Abstract, Author Keywords, IEEE Terms","latency optimization, quantization, edge ai, quantization"
10.1109/AICAS57966.2023.10168657,"TinyissimoYOLO: A Quantized, Low-Memory Footprint, TinyML Object Detection Network for Low Power Microcontrollers","Document Title, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","tinyml, quantization, memory-efficient, microcontrollers , energy consumption, quantization, quantization"
10.1109/AICAS57966.2023.10168571,Searching Tiny Neural Networks for Deployment on Embedded FPGA,"Abstract, Abstract","edge ai, neural architecture search"
10.1109/AICAS57966.2023.10168601,Energy Efficient Software-hardware Co-design of Quantized Recurrent Convolutional Neural Network for Continuous Cardiac Monitoring,"Abstract, Author Keywords","quantization, quantization"
10.1109/AICAS57966.2023.10168645,A Lightweight Convolutional Neural Network for Atrial Fibrillation Detection Using Dual-Channel Binary Features from Single-Lead Short ECG,Abstract,low-power 
10.1109/AICAS57966.2023.10168552,A 12-Lead ECG Delineation Algorithm based on a Quantized CNN-BiLSTM Auto-encoder with 1-12 Mapping,"Abstract, Author Keywords","quantization, quantization"
10.1109/AICAS57966.2023.10168646,Low-Power Convolutional Neural Network Accelerator on FPGA,"Document Title, Abstract, Abstract, IEEE Terms","low-power , resource-constrained, energy consumption, energy consumption"
10.1109/AICAS57966.2023.10168637,Group Vectored Absolute-Value-Subtraction Cell Array for the Efficient Acceleration of AdderNet,"Abstract, Author Keywords","energy-efficient, energy-efficient"
10.1109/AICAS57966.2023.10168584,GPIL: Gradient with PseudoInverse Learning for High Accuracy Fine-Tuning,Abstract,resource-constrained
10.1109/AICAS57966.2023.10168623,Online Spatio-Temporal Learning with Target Projection,Abstract,resource-constrained
10.1109/AICAS57966.2023.10168649,LG-LSQ: Learned Gradient Linear Symmetric Quantization for Low-Precision Integer Hardware,"Document Title, Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, quantization, model compression, quantization, quantization"
10.1109/AICAS57966.2023.10168615,A High Performance Accelerating CNN Inference on FPGA with Arrhythmia Classification,"Abstract, Abstract, IEEE Terms","low-power , quantization, quantization"
10.1109/AICAS57966.2023.10168614,TPE: A High-Performance Edge-Device Inference with Multi-level Transformational Mechanism,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/AICAS57966.2023.10168566,A Hardware-Centric Approach to Increase and Prune Regular Activation Sparsity in CNNs,"Abstract, Author Keywords","pruning, pruning"
10.1109/AICAS57966.2023.10168607,Performance Assessment of an Extremely Energy-Efficient Binary Neural Network Using Adiabatic Superconductor Devices,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","energy-efficient, quantization, energy-efficient, binary neural networks, bnn, memory usage, bnn, quantization"
10.1109/AICAS57966.2023.10168575,Novel Knowledge Distillation to Improve Training Accuracy of Spin-based SNN,"Document Title, Abstract, Abstract, Author Keywords","knowledge distillation, model compression, knowledge distillation, knowledge distillation"
10.1109/AICAS57966.2023.10168587,A Low-Power Hardware Accelerator of MFCC Extraction for Keyword Spotting in 22nm FDSOI,"Document Title, Document Title, Abstract, Abstract, Author Keywords, Author Keywords","low-power , keyword spotting, low-power , keyword spotting, low-power , keyword spotting"
10.1109/AICAS57966.2023.10168561,High-Accuracy and Energy-Efficient Acoustic Inference using Hardware-Aware Training and a 0.34nW/Ch Full-Wave Rectifier,"Document Title, Abstract, Abstract","energy-efficient, energy-efficient, keyword spotting"
