DOI,Title,Matched Columns,Matched keywards
10.1109/EDGE60047.2023.00017,Transfer-Once-For-All: AI Model Optimization for Edge,"Document Title, Abstract, Author Keywords, Author Keywords","model optimization, neural architecture search, neural architecture search, nas"
10.1109/EDGE60047.2023.00027,Edge Computing Tasks Orchestration: An Energy-Aware Approach,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/EDGE60047.2023.00028,Domain modeling for scenario sensing and edge decision-making,Abstract,real-time performance
10.1109/EDGE60047.2023.00029,Creating Robust Deep Neural Networks with Coded Distributed Computing for IoT,Author Keywords,edge ai
10.1109/EDGE60047.2023.00030,Seque: Lean and Energy-aware Data Management for IoT Gateways,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/EDGE60047.2023.00031,Probabilistic Error Reasoning on IoT Edge Devices,Abstract,resource-constrained
10.1109/EDGE60047.2023.00032,LightESD: Fully-Automated and Lightweight Anomaly Detection Framework for Edge Computing,Abstract,energy consumption
10.1109/EDGE60047.2023.00034,Accurate Calibration of Power Measurements from Internal Power Sensors on NVIDIA Jetson Devices,Abstract,energy-efficient
10.1109/EDGE60047.2023.00041,Improved Knowledge Distillation for Crowd Counting on IoT Devices,"Document Title, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","knowledge distillation, quantization, pruning, knowledge distillation, knowledge distillation, quantization"
10.1109/EDGE60047.2023.00042,FedCime: An Efficient Federated Learning Approach For Clients in Mobile Edge Computing,Abstract,resource-constrained
10.1109/EDGE60047.2023.00043,A Dynamic and Collaborative Deep Inference Framework for Human Motion Analysis in Telemedicine,"Abstract, Author Keywords","real-time performance, quantization"
10.1109/EDGE60047.2023.00045,AnalogNAS: A Neural Network Design Framework for Accurate Inference with Analog In-Memory Computing,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords","tinyml, edge ai, resource-constrained, edge ai, neural architecture search"
10.1109/EDGE60047.2023.00046,Reducing Inference Latency with Concurrent Architectures for Image Recognition at Edge,"Abstract, Abstract, Author Keywords, Author Keywords","neural architecture search, nas, edge ai, neural architecture search"
10.1109/EDGE60047.2023.00047,Context-Aware Task Handling in Resource-Constrained Robots with Virtualization,"Document Title, Author Keywords","resource-constrained, edge ai"
10.1109/EDGE60047.2023.00049,A Comprehensive Performance Evaluation of Procedural Geometry Workloads on Resource-Constrained Devices,"Document Title, Abstract, Author Keywords","resource-constrained, resource-constrained, resource-constrained"
10.1109/EDGE60047.2023.00055,The Potentials of AI Planning on the Edge,"Abstract, Author Keywords","edge ai, edge ai"
10.1109/EDGE60047.2023.00056,Realising the Power of Edge Intelligence: Addressing the Challenges in AI and tinyML Applications for Edge Computing,"Document Title, Abstract, Abstract, Author Keywords, Author Keywords","tinyml, tinyml, edge ai, tinyml, edge ai"
10.1109/EDGE60047.2023.00057,PATRIoTA: A Similarity-based IoT Malware Detection Method Robust Against Adversarial Samples,Abstract,resource-constrained
10.1109/EDGE55608.2022.00016,ECBA-MLI: Edge Computing Benchmark Architecture for Machine Learning Inference,Abstract,energy consumption
10.1109/EDGE55608.2022.00017,CCEI-IoT: Clustered and Cohesive Edge Intelligence in Internet of Things,"Abstract, IEEE Terms","energy consumption, energy consumption"
